species,backfin,fullbody,ensemble,backfin_ensemble_spe,best
blue_whale,1,0.9882893961100765,0.22385726380797077,0.907818037163494,0.5578767123287671
beluga,1,3.182068523434624,1.6145449092724353,2.666478300290738,0.7431379643029425
gray_whale,1,2.46862735134737,1.2213378977819118,2.0063001745350686,0.8036484245439469
dusky_dolphin,1,3.709786930399845,3.9537584642377044,3.8809226851051983,0.8735294117647059
fin_whale,1,1.3861608545394115,3.848529189465982,3.5152140402544374,0.8592039800995024
humpback_whale,1,1.1111058878969111,1.0774014641869312,1.0278717143171279,0.866602809706258
spinner_dolphin,1,0.384123154558092,0.5003013629209214,1.077552036151243,0.9614306784660768
melon_headed_whale,1,3.8306475955380064,0.02581606758241109,2.3345459098942896,0.9401294498381878
killer_whale,1,0.9178983177484283,1.004563019146862,1.0693497968149628,0.9412416851441242
minke_whale,1,2.324696875368406,3.4988102286450884,3.5053664690156205,0.9398033126293996
bottlenose_dolphin,1,0.33205515453005424,0.7481238833353888,0.90582957545264,0.9745134965473949
false_killer_whale,1,3.6473648247199573,0.3345979270914894,3.5803584124741885,0.993431855500821
minor,1,2.695641668408886,1.8527498841864074,3.1275013583303353,0.837177063642092
