species,backfin,fullbody,ensemble,backfin_ensemble_spe,new_ensemble,best
blue_whale,1,0.8077580394753594,0.3388099412860828,1.0549452278096845,1.0704842940288153,0.5523845007451564
beluga,1,3.8577769983731316,3.0829681987042323,3.121160238599655,2.7048366622006403,0.7643638055361711
gray_whale,1,0.4349460650646839,0.09192246150490459,0.8507765497563058,2.188221377993908,0.8639760837070255
dusky_dolphin,1,0.165854447180512,2.0844271383825568,3.6507269647060587,3.9160995886306744,0.881140350877193
fin_whale,1,1.9082267436719071,2.8711693446284317,3.9051506480260136,3.464527086910461,0.9218213058419245
humpback_whale,1,3.8716033763891144,3.64491148543975,3.6463863032513566,1.6016331291087718,0.8914267434420985
spinner_dolphin,1,0.49444895937962285,1.729806295336581,3.3738447294753895,3.0972194659788728,0.9660606060606061
melon_headed_whale,1,0.33266171216943463,0.13591827495125383,3.264922759100385,0.4126864080062274,0.951685393258427
killer_whale,1,2.696151944351067,1.1797348847495213,2.4857565663487278,1.0379540883927125,0.9091432685385169
minke_whale,1,1.468077677462125,1.5104595793414197,3.1932755074376598,1.7478716049579817,0.9539502164502166
bottlenose_dolphin,1,2.596047390345538,0.7355710137813594,2.946481936104151,2.4920632796689737,0.9704775458570524
false_killer_whale,1,3.113292121355703,2.5295105688596946,2.3740654482238948,1.4287554591302358,0.996151996151996
minor,1,1.3669430410116536,3.0299977023106943,3.6391883570132952,3.233509865010015,0.8306135357368755
