species,backfin,fullbody,ensemble,backfin_ensemble_spe,best
blue_whale,1,1.1963595920749222,0.36733560982955293,1.0934640153434345,0.5543994413407822
beluga,1,2.0871799149054353,0.5622726869221979,1.7704862334747462,0.7469728601252609
gray_whale,1,2.3636488676001175,2.289483936908495,1.2846320850376092,0.8496941896024466
dusky_dolphin,1,0.25901555370817275,1.2983661930378674,2.3616239255522102,0.8242559523809524
fin_whale,1,2.372426083885062,1.49625937069511,3.280836051206458,0.8857723577235773
humpback_whale,1,1.2748614137571803,0.9274292226539937,1.1596144214087878,0.8671970427515268
spinner_dolphin,1,0.5849051752105563,0.4678994070665614,3.6782442360294674,0.9417862838915471
melon_headed_whale,1,3.8812317161686978,0.21939772681048408,2.4098310506217806,0.9234234234234234
killer_whale,1,0.8807622224477716,0.7093855767425681,1.2127424570850809,0.9267485119047619
minke_whale,1,0.7521082032113928,1.158732219641736,1.9758661285611938,0.9643658810325476
bottlenose_dolphin,1,2.030957585581591,2.102490112532057,2.3112883796795525,0.9755937954435289
false_killer_whale,1,1.5530892696835037,2.8259383169889216,1.569721303240931,0.990652818991098
minor,1,0.3762713215733779,1.2372796580517442,1.4154491102861817,0.8167272727272727
