species,backfin,fullbody,ensemble,backfin_ensemble_spe,new_ensemble,best
blue_whale,1,1.44860874565799,0.3415572902797399,1.0064475388343355,1.4473279647091346,0.5711876832844575
beluga,1,2.883270737023163,0.8965057731624807,2.4312308037697528,1.902611601733143,0.7571802187351402
gray_whale,1,1.0184333322954344,1.3107097067977205,0.7825520070926055,0.35008775011718896,0.8144012944983818
dusky_dolphin,1,0.3887320085982072,1.8890719996055718,2.931237541857416,3.295085049513323,0.8574074074074074
fin_whale,1,0.6774669071019283,0.11518992007488385,3.603850127204675,2.869709231201928,0.9016759776536312
humpback_whale,1,1.297952863685246,0.505522029641426,1.3129624761116638,1.010820430258981,0.8815486725663718
spinner_dolphin,1,0.6404063883777926,0.305293812260305,2.9862759364553098,0.5241708116235113,0.9448249619482496
melon_headed_whale,1,0.6875775368585163,2.388196977021261,3.71951446896649,0.26861626037217734,0.941747572815534
killer_whale,1,1.359923577082548,2.253778435365231,1.8052670143152239,0.4596559171693206,0.9089449541284402
minke_whale,1,2.0658117786700925,3.2985168611054094,3.3864123918875073,3.5319592275211966,0.9646788990825688
bottlenose_dolphin,1,3.337121352137472,3.7045332505527777,3.82981656514512,1.5683852748328309,0.9714882674381229
false_killer_whale,1,3.7946546170140385,0.3108133473141522,2.947281586275727,2.143270331613323,0.9946336429308565
minor,1,3.027644817222495,2.9065102443945356,3.354778405031526,1.3310673161800515,0.8459935897435896
