species,backfin,fullbody,ensemble,backfin_ensemble_spe,new_ensemble,best
blue_whale,1,1.0543922114895876,0.13841227302311174,0.3912159816945065,1.110125237502709,0.5827746741154562
beluga,1,1.5772511705875527,0.28765327294395737,0.8244342916848537,1.367413266233899,0.7614242635119463
gray_whale,1,3.761215483071527,1.839976062102711,2.2854822455720303,2.1282182872196214,0.8543577981651376
dusky_dolphin,1,1.4188668170370842,0.031029470613642196,3.9943901367353667,3.553602376526347,0.824702380952381
fin_whale,1,1.5519406336080073,1.0657343567516135,3.4798331382057817,1.6510589356387104,0.8901626016260163
humpback_whale,1,1.8483517417957196,0.09902706550313735,1.741501593002182,1.4750136297979346,0.87674381227901
spinner_dolphin,1,0.00730095538564729,0.28189609480219024,3.9984814022341015,0.9566773011885994,0.9421850079744818
melon_headed_whale,1,3.1015636201451273,0.49315499986768574,2.460010533836717,0.24488971429748405,0.921921921921922
killer_whale,1,2.4874082358991134,1.364862761625518,2.620222570559436,2.50794321615483,0.9234002976190476
minke_whale,1,1.8112703631738498,1.4328086857353126,2.5470636958964383,3.3418199075331416,0.9652076318742984
bottlenose_dolphin,1,3.661497361783291,2.932145282741381,3.3592820410977517,1.6847775518433166,0.9751090644692196
false_killer_whale,1,2.726862716152253,2.6793488075778837,2.1023774499849335,2.992263980621575,0.9928783382789318
minor,1,1.371957496411185,0.5734686338060719,1.3761270774037286,1.4288659390020266,0.8190909090909091
