species,backfin,fullbody,ensemble,backfin_ensemble_spe,new_ensemble,best
blue_whale,1,1.1196129829347732,0.024018481525041685,0.975764899676015,1.294542704438947,0.590307486631016
beluga,1,2.6416639045293953,1.9237786627204423,1.4956872704124906,2.2799157828735197,0.7475893886966551
gray_whale,1,1.33555550908511,1.4358617172499364,1.2180252684278932,2.394031005618615,0.7916247906197657
dusky_dolphin,1,2.600355870272808,0.34482550571286885,2.325054214796445,2.8219447819075207,0.8616504854368932
fin_whale,1,2.468429279151497,1.4114021538316752,2.4460021940254144,1.7322120301932789,0.9127147766323024
humpback_whale,1,3.130793091268969,0.6210402811356437,2.7744125347870376,2.766405526693083,0.8829140461215933
spinner_dolphin,1,2.939343548459295,0.5186100876988344,3.7989564100896533,0.24250940019633177,0.9608024691358026
melon_headed_whale,1,1.7095228407781509,0.4704352665047219,3.161186710775768,3.2682467056790805,0.9659498207885305
killer_whale,1,0.45893764143919824,3.4942316334932557,3.1370105303731703,0.6065713319363715,0.9142961342086069
minke_whale,1,1.7227316273800204,0.814182656418488,3.8064567873687514,2.0309499097064845,0.9573378839590444
bottlenose_dolphin,1,1.5320279159127712,3.0149166374860124,3.9328408378420003,3.1640979929825774,0.9679128477247145
false_killer_whale,1,1.5708733443160865,1.535541956256088,1.284393365664019,1.2745450529751685,0.9944105691056909
minor,1,3.548399262140382,0.937927751757452,3.4257912111499804,3.8253250038147963,0.8153820816864296
