species,backfin,fullbody,ensemble,backfin_ensemble_spe,best
blue_whale,1,1.4653603107928204,0.16842926423637974,0.9359203711690306,0.5554985337243401
beluga,1,2.596000299177705,1.3722309305112652,2.232108859910101,0.7496790299572041
gray_whale,1,1.0644723758407868,1.3840078916833212,0.9763454129336089,0.8146440129449838
dusky_dolphin,1,0.07350606782273328,2.683977743848995,3.1604728381289924,0.8461728395061728
fin_whale,1,2.7844096138615586,1.6876750556558315,1.8554576319404652,0.8996275605214152
humpback_whale,1,1.6826513442819437,1.052099383505767,1.5588889930679097,0.8789823008849558
spinner_dolphin,1,0.650962209791246,1.1588059892920426,3.8921416904630495,0.9444444444444443
melon_headed_whale,1,0.036879794228170906,2.091027158950581,2.9475926890249218,0.941747572815534
killer_whale,1,1.3106408761349309,1.6704861817675816,1.4784788546608796,0.9100152905198776
minke_whale,1,1.3283736559141117,2.2775060668051155,1.6318731098937969,0.9625382262996942
bottlenose_dolphin,1,1.5841094235063267,1.7583764624282217,1.9517430933225177,0.9710703953712633
false_killer_whale,1,1.5199182905770778,0.4495213632578492,1.876685956668367,0.9937306501547988
minor,1,3.2305230275503822,3.2657100513189485,3.570669382630415,0.8453525641025642
