species,backfin,fullbody,ensemble,backfin_ensemble_spe,best
blue_whale,1,1.2344321907978173,0.3567896514799682,1.0612131597913237,0.5366368604073521
beluga,1,3.995518719582083,3.2664749649248908,3.6206375650046274,0.749930216329379
gray_whale,1,1.888894613149794,1.3574932809800544,1.4051619137988256,0.8514947683109118
dusky_dolphin,1,1.0188109516417487,1.8932151836312916,1.7546231603219453,0.8701754385964913
fin_whale,1,2.3162130359485738,2.4977369980366264,3.8978129957072314,0.9166666666666665
humpback_whale,1,2.084692812628746,1.856771368519582,1.82308832501706,0.8901471529110684
spinner_dolphin,1,3.83769182425648,3.1053687741600093,3.962554562948622,0.9592424242424243
melon_headed_whale,1,0.13003361224462112,0.35742756731010406,1.9464118009928166,0.9573033707865168
killer_whale,1,0.8910618643296451,0.9539635062248579,1.070097756488923,0.9110511159107273
minke_whale,1,1.3817989661469363,1.1842034616417907,2.3106976461825752,0.9499458874458876
bottlenose_dolphin,1,1.5338721511452227,1.3862906171948375,1.3403512636242363,0.9694971537001896
false_killer_whale,1,1.3564990058295376,0.9956880365549339,0.631230357382397,0.996031746031746
minor,1,2.1972344139655737,2.334362468059298,3.312703101001604,0.8247311827956989
