species,backfin,fullbody,ensemble,backfin_ensemble_spe,best
blue_whale,1,1.2479979321809245,0.24985348939200608,1.2589520957121998,0.5626114081996435
beluga,1,3.0927671773701197,1.9912649268221,2.4189672275332734,0.7316839677047289
gray_whale,1,3.71058491606175,3.4359198086189284,1.8929141858444138,0.7725293132328309
dusky_dolphin,1,1.6839527151284985,0.5630137265202236,2.1548405431158026,0.8517799352750809
fin_whale,1,1.0939582969660273,0.12564899385650707,1.0650741110115298,0.9076460481099655
humpback_whale,1,1.2158779134611661,1.0878437957038938,0.8340092979634113,0.8805630428271937
spinner_dolphin,1,3.386415761635425,0.6405854340311623,3.0968317444331754,0.9592592592592594
melon_headed_whale,1,0.572799383490603,0.3880000027646368,0.8766418406949266,0.9618279569892474
killer_whale,1,0.4033516861568432,2.925385137554793,1.9222282357304261,0.9146243617797228
minke_whale,1,1.161681169345362,1.4086179685534284,3.4051260135493964,0.9533560864618886
bottlenose_dolphin,1,1.3379763108121658,0.118378967177385,1.6124115391929483,0.968234442836469
false_killer_whale,1,0.6503147738542164,0.7659842440523773,0.0036208569467395257,0.9944105691056909
minor,1,3.38017118310393,2.740154405943368,3.954292317320416,0.8082015810276679
